"","V1"
"Sensitivity",0.999876897103565
"Specificity",0.581632653061224
"Pos Pred Value",0.999279399616852
"Neg Pred Value",0.890625000000039
"Precision",0.999279399616852
"Recall",0.999876897103565
"F1",0.99957805907173
"Prevalence",0.998279524586998
"Detection Rate",0.998156633486069
"Detection Prevalence",0.99887642422008
"Balanced Accuracy",0.790754775082395
