"","V1"
"Sensitivity",0.999683449694881
"Specificity",0.785714285714286
"Pos Pred Value",0.999630710793796
"Neg Pred Value",0.810526315789465
"Precision",0.999630710793796
"Recall",0.999683449694881
"F1",0.999657079548752
"Prevalence",0.998279524586998
"Detection Rate",0.997963518898896
"Detection Prevalence",0.998332192201682
"Balanced Accuracy",0.892698867704583
