"","V1"
"Sensitivity",0.98285352513937
"Specificity",0.857142857142857
"Pos Pred Value",0.999749561733033
"Neg Pred Value",0.079320113314449
"Precision",0.999749561733033
"Recall",0.98285352513937
"F1",0.991229548175409
"Prevalence",0.998279524586998
"Detection Rate",0.981162549814786
"Detection Prevalence",0.981408332016643
"Balanced Accuracy",0.919998191141114
